intensity,count
0,1254
1,1900
2,3665
3,6224
4,0
5,0
6,10686
7,0
8,0
9,14924
10,0
11,0
12,0
13,0
14,0
15,21309
16,0
17,0
18,0
19,0
20,0
21,0
22,31621
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,30683
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,40887
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,44376
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,50269
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,52297
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,52673
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,53917
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,48233
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,53058
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,45924
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,42084
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,36832
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,36757
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,30442
174,0
175,0
176,0
177,0
178,0
179,0
180,28373
181,0
182,0
183,0
184,0
185,0
186,27102
187,0
188,0
189,0
190,0
191,21432
192,0
193,0
194,0
195,0
196,19635
197,0
198,0
199,0
200,16718
201,0
202,0
203,0
204,15507
205,0
206,0
207,13217
208,0
209,0
210,11597
211,0
212,10025
213,0
214,0
215,8947
216,6990
217,0
218,6301
219,5481
220,4556
221,4243
222,3527
223,3367
224,5858
225,2550
226,4738
227,4352
228,3927
229,3885
230,5395
231,3368
232,4928
233,3305
234,4807
235,3110
236,4428
237,4415
238,4356
239,4179
240,3987
241,3952
242,3769
243,4928
244,3282
245,4109
246,4661
247,4171
248,3886
249,4478
250,4132
251,3683
252,4330
253,4281
254,4068
255,2225
